,nick,lp
0,Esqueceatristeza,768
1,BES ego illusion,759
2,favriel1,665
3,Tsuuzaki,652
4,Gott ll,631
5,Shirazu,607
6,Midoriya TFT,557
7,D Kaos TFT,525
8,DETETIVE ALINE,524
9,Rafael Araújo,503
10,Orono Noguchi,502
11,Levi,491
12,BES DobZ,531
13,Flangonator,508
14,KDA wenked,475
15,Titos TFT,464
16,Math108,462
17,Main Jhin Buuu,423
18,Ieko,410
19,BEE Arkjow,370
20,CarneiroD,362
21,BES Narkesh,351
22,Twitch Phelpz13,343
23,eusouolucas,335
24,DonCrazy,335
25,Guiczar,311
26,KDA Sukesvs,297
27,KDA Constantine ,287
28,PedroBanana,280
29,Gune,263
30,famosa vayne 1v9,254
31,NiNooce,253
32,NFORNEAD,250
33,FOUR Dianbizir,249
34,Koala Esbelto,242
35,SaintOz,223
36,DÏN0,221
37,xFlashy Flash,217
38,BES Toddy,215
39,Slooper,215
40,EmiIe Durkheim,214
41,Pikáchú,212
42,Make Them Suffer,209
43,pruu1,201
44,zViic,199
45,Twor,195
46,TwitchTV pruu1,168
47,Endeev,161
