,nick,lp
0,TTV AL3XEM,1382
1,Um33d,1310
2,ANO Lelouch,1262
3,Magarky,1203
4,S1C xus0o,1200
5,Liquid Snoodyboo,1151
6,twtv Rykomastery,1070
7,KC Double61,1046
8,Thrae,1026
9,kevinparkertft,1005
10,Deis1k,991
11,ImSøFresh,981
12,DV1 shircane,954
13,NES Qetzer,942
14,Ukkkkko,912
15,DV1 Sage,881
16,LIL Aware,881
17,AceofSpadesITA,877
18,faytless,845
19,SLY Voltariux,834
20,LIL Enzosexe,830
21,White Rabbit 222,829
22,EuBebe872,825
23,simplyw0jtek,823
24,ANO Vicer,812
25,Pas De BoI,809
26,DV1 Kacpersky191,807
27,TMS Vomendeth,806
28,ARMA ACKK,799
29,Ceremonialsss,794
30,Dalesom,777
31,Catalyst TFT,774
32,Skipaeus,762
33,IZI Lyyyress,762
34,Texita,758
35,Salvyyy,757
36,TarteMan,752
37,bunbun TFT,751
38,Mamène TFT,738
39,Lorus,737
40,Sologesang,737
41,Lianggg,726
42,JR70 TKey,720
43,Cynarr,720
44,TMS Sunshee,718
45,Kingdanzz,716
46,gluteus maxímus,708
47,uknowSawyer,696
48,HyunTer,695
49,Wet Jungler,693
50,chunkypapa,685
51,SwellerTiger,684
52,PCS Xperion,684
53,Exstyled,679
54,LIL Bränk,679
55,Oz74 ,651
56,San Jomian,623
57,NES Alegory,623
58,ZyK0o,612
59,Jotaęn,608
60,Kropekpobyku,606
61,Babyguana,605
62,zoro5773,594
63,Hyunjinbot,593
64,YPRN Chwbk,592
65,tms bellae,565
66,Phabal,564
67,ArmaTruc,561
68,Arewilia,546
69,Eybeam WG,530
70,ttv fischerable,530
71,J1aVX PaoPaoPW,529
72,iamTLT,529
73,etre infame,527
74,Loescher,526
75,Fabulotus,514
76,AGO traviscwat,506
77,xia lu bie song,506
78,DV1 TSW5,506
79,njakvipfc,488
80,Noerum,474
81,Nakashiiii,473
82,TMS Konogan,463
83,AGO Zbrojson,436
84,infernixx,411
85,BGN DrMattheus,366
86,Katakur S,350
87,Ganord0f,343
88,Tapriv,253
89,Wägga,696
90,Guillosko,683
91,BKrisz,679
92,BGN Kenobi,636
93,KC Canbiz61,614
94,LastKardax,600
95,Ez Game xd,583
96,Nark3z,570
97,Vejeetah,549
98,BGN ShinoPavels,541
99,jimray3,536
100,AKA magic,532
101,5454XD,529
102,Drenaco,522
103,C0LiN,521
104,Ãki,517
105,DÉ BIZOU TENDRES,515
106,Tiaan TFT,510
107,Petít Chaton,506
108,Whıte Arıe,505
109,FTW Kuzma,498
110,JayPL,491
111,TMS Jean Keke,486
112,TomJedus0r,485
113,Bybz,476
114,Lornyk,472
115,MHStana,471
116,Luque,465
117,SpritneyBiers,452
118,FKB Dokhy,452
119,ANO shreddin,446
120,Enclase,443
121,EML Toutoune,440
122,Cilyo,437
123,Vínn,428
124,Wøøpy Le Juste,427
125,Kevan77,422
126,Ovadiiiiiiiiiio,421
127,Shaunz TFT,418
128,xForsaken,408
129,Kalsir,402
130,ShıningStar,395
131,BIGSWAGLORDLOLXD,393
132,RΞSTΛRT Tacti,386
133,why bully me,385
134,xiellendario,385
135,Thanzull,384
136,Imperator3214,383
137,Maxwellβoltzman,382
138,The Kite Runner,379
139,Sacapuces,373
140,d wang fangirl,370
141,Torlk,368
142,kubixon06,368
143,Lilith Fulmen,367
144,Luumys,360
145,Daaave,356
146,Mõjo,353
147,Drazar,352
148,FluffyHS,350
149,KNF Skorpion,350
150,TayDAK,349
151,DWS Tyefty,349
152,Phbl,347
153,Kyrregl,345
154,BoLennart,340
155,FT3 DRCEBO,339
156,NES San Gofab,336
157,EsPαt,335
158,NES Arestidios,332
159,CHEVURUKETCHUPU,325
160,EDC PeBe,324
161,TFT Panpan,322
162,soc un ODESZA,321
163,Joshy Chan ,319
164,TMS RazayeL,314
165,PSR Cascendre ,313
166,Unluckye,311
167,JollyFaker777,306
168,Ðitch,306
169,Falkor Le Gentil,305
170,TaroTFT,303
171,Saftbehfl,303
172,Pinky windy,298
173,Zidodo,297
174,IW Idlemonkk,293
175,Jotosha,293
176,VGIA T4nPoP,288
177,Daan Stylez,285
178,Papua Naiyo,284
179,1xKatze süßsauer,284
180,Dear Desolation,283
181,EnderRed29,282
182,zomgowy,280
183,h4udrauf,278
184,chmochmaTFT,278
185,rukitosan,275
186,YourLifeisMineEU,273
187,Exqzt,273
188,PhoenixNac,272
189,Ranceta,270
190,SoeyTCG,268
191,Liquid AKAWonder,267
192,Lallana,267
193,SinbadTFT,266
194,Khristor,264
195,UdotBdot ,262
196,Head0n,260
197,Beans from MaRs,260
198,Danguardians,259
199,RandhawaHD,259
200,Cute Crab,259
201,lovemenbutts,259
202,Kyleeee WHO,257
203,Missing Health,253
204,James D Savage,251
205,Wardha,250
206,LaiDawoYa,250
207,Cimour,250
208,iBlazeTheGamer,250
209,juansetama,249
210,DigaSparta69,248
211,PCS Kalflo,248
212,kacpertft,247
213,niicks,244
214,FlècheNoire,242
215,str8 rippin,241
216,CN Jiang Ze Ming,240
217,SirLowk,240
218,Joesenf,237
219,RiiKKz,233
220,Shetrin,232
221,destroieds,232
222,Enobia,231
223,GEIGEIXIAOBAWANG,230
224,Iíon,230
225,Scream4Hell,226
226,Jajaxxs,224
227,totozor13,224
228,Remsnb1,223
229,Shakalaka Piu,222
230,V1 ZULUL,220
231,STFD Inferno,219
232,Haiiden,218
233,VGS White Lies,218
234,NightsHS,217
235,Birderp,217
236,lvl 1 Vulpix,217
237,JTX,216
238,Ardonix,215
239,Big Bick Energy ,214
240,MasterTheoos,213
241,SpelingMitsake,212
242,Suidoken,211
243,MutekiGamer,210
244,shapeshifters,210
245,cheukDive,210
246,RabbyJ,210
247,OGiii,206
248,iLLuuu TFT,205
249,Kezioo,205
250,why miss,205
251,KRC AieZen,204
252,TrybleH,204
253,Nif FTF,201
254,pelle,200
255,Iocke,200
256,SeyRo,189
257,CD ThePikachu,177
258,NES BluePlease,174
259,La DouGz,167
260,me keef,156
261,Medace,154
262,USM Cydrill,152
263,ANO Kezman,152
264,rahzah,151
265,Definitely Sus,148
266,Løken,137
267,Arkazeus,136
268,HiImChayan2,125
269,88ZOgUOy88,118
270,Onirico,115
271,Raavaj,112
272,Boubsho,91
273,Lumarpin,66
274,Ikaro,43
275,Chambe,7
