,nick,lp
0,やつはし,1340
1,Hiraino,1202
2,りーり,1035
3,Best 佐藤 JP,1034
4,summertimer,968
5,title,719
6,next777,702
7,kes,680
8,Mïdor1,664
9,ぬこ丸,662
10,ザリガニ大会,648
11,じーく,636
12,tikpen,624
13,ginTab,608
14,NiuHS,605
15,rionest,575
16,연속살인마,567
17,リセット カラー,562
18,ミドリガメ,555
19,etsuya0505,541
20,害獣あらいぐま,535
21,Yuna,516
22,やふーくん,500
23,kaito716,483
24,Rise8332,481
25,Starfish4,478
26,Spatz,457
27,NA gyalubaby,443
28,VTAKU77,438
29,sobakotu,431
30,Archsy,420
31,glutane,402
32,高科 奈桜,388
33,hirateuti,385
34,misomega,378
35,3OO3,377
36,Cresselia123,371
37,dozepk,369
38,きじちゃん,362
39,jeremy624,358
40,スト缶ODしのぴ,347
41,God Fukuoka,343
42,allestio,311
43,mari,308
44,center8128,306
45,mohohohoooooo,291
46,vanderkahn,286
47,HiROKKtft,275
48,イキ杉愛苦朗,273
49,nobupiko,267
50,ゆめの,264
51,CattIeya,257
52,chemistry0221,256
53,sack dance,249
54, N E I  T  95,249
55,bappy,244
56,Aberia,243
57,dosaidon0,243
58,アキイクＳ,243
59,Ending Scene,239
60,VNS Anna,239
61,Syre,238
62,hakaginanasi,233
63,Anemone123,232
64,シャケロット,231
65,trotv,231
66,GHOSTLIBERATOR,228
67,Juu1nop,227
68,TFTのお嬢様,224
69,のいがはま,223
70,bebimuhi,222
71,apa09Neo,217
72,小林ジョンソン,212
73,  インターネット,206
74,underb1ade,203
75,VNS LiuCT,202
76,Dakotas,202
77,halkeye,198
78,ゴマちゃん,198
79,Mouch,169
80,しかめまどか,162
81,RsKz nora,149
82,ryu07,140
