,nick,lp
0,006400 T,1239
1,sètsuko,1201
2,Nostereleven,1046
3,Tsmmaa,1000
4,Liquid Goose,989
5,TFT VX 674706031,970
6,Kageros,949
7,RamKev,946
8,C9 k3soju,945
9,TSM FTX Souless,941
10,VX15375231123,937
11,casparwu,908
12,BC Socks,901
13,Cottontail,900
14,Liquid Kurumx,896
15,SpencerTFT,888
16,Kiting is Hard,860
17,VX TFTDL888,847
18,Liquid Robin,833
19,xiao dian dian,828
20,plumbum,825
21,iCopyKeane,777
22,brainlaggg95,774
23,Milk Guy,766
24,Velayy,763
25,guubum,741
26,Souless,721
27,Sphinx,716
28,Dıshsoap,702
29,chessmage,696
30,Incite,686
31,TSM FTX Kiyoon,668
32,Aesah,667
33,prine2,666
34,TTV WaterAsChase,661
35,Xeno,659
36,I Miss Void Sins,655
37,Broccóli,655
38,dementedgraph,650
39,SpicyAppies,650
40,iG Noobowl,644
41,Pivot Valorant,626
42,Ramblinnn,620
43,iG DQA,615
44,    ˆŁxmˆ  ,606
45,MXU,598
46,Saibur,572
47,Wíthin,570
48,TheWaterBearr,567
49,jdzielinski22,553
50,VAST MENTAL GAP,553
51,Clair666,551
52,vx dl875792007,546
53,iiLucky,546
54,Darth Nub,545
55,tran98huy,545
56,carrotman,534
57,Teechu,532
58,Helping,532
59,bobbyex,527
60,bertasaurus,527
61,I Am BonAppleT,521
62,xiaoheQ,514
63,Ruele,513
64,Xnieamo,510
65,DoYouWantSomeTea,510
66,inikoiniko,509
67,JimLoveAngie,505
68,Not Shiyi,503
69,Connerisme,503
70,gaozi,502
71,Ueckar,500
72,PPPRESTIVENT,420
73,garet,493
74,GDtheman,486
75,Cris,482
76,Pogment,474
77,mD Bepo,473
78,YippeeMaokaiYay,471
79,Raimus,468
80,Grillsyy,461
81,digitalotus,454
82,BigBoyZai,453
83,ayayayayayayeyer,444
84,Mean Mister Kien,441
85,papercheeze,441
86,TftCream,436
87,huyg,430
88,PickleOnion,430
89,The1 n onlyKwaz,418
90,HuluBro I 98,417
91,guba,415
92,EMlTWOHS,414
93,poisonpirate,411
94,ssenilenoL,410
95,Pepega in TFT,406
96,ReynzeR,405
97,dogdogdog,403
98,Koryean,398
99,freshveggies03,396
100,Tae2n,391
101,guyguyguyjj,385
102,radsrad,384
103,ThatOtherJacob,380
104,mD PockyGom,378
105,TesKnight1,375
106,Kenya1der,373
107,TTV alexkimtft,372
108,ElmondTFT,370
109,CommandoC,367
110,uwudamndaniel,360
111,MegaGrega,354
112,Diejoubu xD,351
113,staralfur12,350
114,justniice,349
115,pyrirer,347
116,chainpullz,345
117,SmurfSquatch,341
118,mD yubin,340
119,Âzarin,337
120,Trade,336
121,becca tilts,336
122,APirateOMG,335
123,i like cats 3,333
124,zhü,331
125,aladdjin,330
126,cant win life,327
127,cracker plague,323
128,Công An 911,322
129,emilywang,321
130,Pakhkhk,321
131,Elvisbeback,321
132,PoppIn Jung,320
133,BravoDavid,318
134,3 Gà,318
135,Yiggles,318
136,Notmybad,317
137,XrsBishop,315
138,cmxiaotianshi,315
139,Forest Hermit,312
140,ilikeike,311
141,Posment,309
142,soobydooo,307
143,KOOMMoley,304
144,Tohsaka Rin,301
145,Big Puppa,301
146,chickeneater02,301
147,robivankenob,299
148,FingerLicker,295
149,dpei,293
150,AirWoo,292
151,JazLatte,290
152,JukeYou,290
153,daCableguy,287
154,enaek,287
155,ButteredCatK,285
156,Mister Lau,285
157,rayditz,284
158,Aärön,284
159,Riona,283
160,KR DDUDU,280
161,FinaldF,279
162,kenya1,278
163,QualityHooker,277
164,tdays,276
165,soup eater,276
166,F1 Flow,275
167,Pawnup,273
168,fsf,273
169,Monstrata,269
170,TyIer Franklin,266
171,charIz,264
172,BarackaFlucka,263
173,deeekayy,263
174,lil kahuna,263
175,Sehnbon,260
176,kci,258
177,Icey,256
178,mD aer0,255
179,BBBBBBBBBBBB12,255
180,Effen,252
181,MenhitSedna,251
182,mD rue loves you,250
183,yungkev,249
184,Tangela,249
185,ADHDisco,249
186,Rokuyo,249
187,ShelledAlfredo,247
188,binghin,247
189,Tragoose,245
190,nEjWanda,244
191,bo4nkiller,243
192,horny and alone,243
193,Bulls0717,243
194,DrownedGod,242
195,hawth0rne,241
196,Depew,240
197,EvilGenius,239
198,Luqun,239
199,TTV KENYA1,237
200,ttv p1vaaa,237
201,afkdrew,237
202,SadgeSadgeSadge,236
203,dontbullme,235
204,IMBabyhands,235
205,Kyivix,234
206,Stompalittle,234
207,stzRazer,233
208,Guyjrt,233
209,Sserendipity,232
210,Bankie,232
211,Jyu V Grace,231
212,cheesytoad,231
213,ClearloveMingkai,231
214,Cloaking,230
215,Kunpang,229
216,Allenteng,227
217,Nadal,226
218,NodeJS,226
219,hi im obra,226
220,Isaac142,226
221,JawKneeYou,226
222,TwTv TrajanTFT,225
223,Flashbâng,225
224,Loomykev11,224
225,Rolling ZoZo,221
226,trikpi,221
227,ItsDinodan,220
228,Dowsie Protector,220
229,ABeardedPanda,220
230,KaiserEY,220
231,Flightzy,220
232,Aries Titan,219
233,DisGame2Ez,219
234,Shadow House No1,218
235,Wøømy,218
236,slinkge,218
237,TimeZeroo,217
238,chunkypapa,217
239,I am not Lucy,216
240,Kimba TWL,216
241,Kill1ingGod,216
242,YEEF,215
243,shalec,213
244,Homesick,213
245,xReddi,213
246,dallasyes,213
247,Bcraz,212
248,HenryGeez,212
249,Aurelíon SoI,212
250,eune paid actor,212
251,RONNIESTOPPABLE,212
252,akiSaa,211
253,Kismyluv,211
254,iSexyHugoBabyGOD,211
255,Slindy212,210
256,MollyCookies,210
257,captain kookie,210
258,Attack,210
259,sponcyy,209
260,Landis,209
261,Zaddo,208
262,WHY NOT MUNDO,208
263,bossoskills,208
264,khashishi,207
265,iuiuiuiuiu,207
266,SystoIicFrame,206
267,Tezzerker,206
268,NA FREE KEKW,206
269,Wibbs8,206
270,YoungPlum13,206
271,ssaamm,205
272,AP GaRen,205
273,Nep2une,204
274,Pls Put it in Me,204
275,Kandiez,204
276,greyasmo,204
277,egg boy john,203
278,Alpa7,203
279,FlyMoto,203
280,Keima,203
281,swellboy ,202
282,eviljordan,202
283,Harukawa Maki,202
284,Áion,200
285,ImSoFetch,200
286,Jhin Weak,200
287,otter popped,198
288,Dad2Point0,188
289,iCandyyyy,185
290,Bradini,183
291,Poka,179
292,SkiingStarfruit,177
293,TACOBELL WlFl,165
294,Bruhbruhbruh WHO,103
