,nick,lp_diario,lp
0,Shirazu,73,680
1,PedroBanana,63,343
2,famosa vayne 1v9,61,315
3,Esqueceatristeza,57,825
4,FOUR Dianbizir,57,306
5,KDA Sukesvs,49,346
6,Guiczar,42,353
7,Midoriya TFT,33,590
8,Slooper,31,246
9,Gott ll,13,644
10,NFORNEAD,12,262
11,EmiIe Durkheim,9,223
21,BES ego illusion,0,759
27,favriel1,0,665
33,Flangonator,0,508
28,Rafael Araújo,0,503
29,Orono Noguchi,0,502
30,Levi,0,491
32,KDA wenked,0,475
26,Titos TFT,0,464
34,Math108,0,462
35,Main Jhin Buuu,0,423
36,Ieko,0,410
37,BEE Arkjow,0,370
38,CarneiroD,0,362
39,BES Narkesh,0,351
31,Twitch Phelpz13,0,343
24,DonCrazy,0,335
25,eusouolucas,0,335
14,KDA Constantine ,0,287
16,NiNooce,0,253
17,Koala Esbelto,0,242
19,SaintOz,0,223
20,DÏN0,0,221
23,xFlashy Flash,0,217
22,BES Toddy,0,215
18,Pikáchú,0,212
12,Make Them Suffer,0,209
15,pruu1,0,201
13,TwitchTV pruu1,0,168
40,zViic,-7,192
41,Twor,-20,175
42,Gune,-23,240
43,D Kaos TFT,-26,499
44,Tsuuzaki,-39,613
45,DETETIVE ALINE,-56,468
46,BES DobZ,-80,451
47,Endeev,-102,59
