,nick,lp_diario,lp
0,FTW Kuzma,142.0,640.0
1,Shaunz TFT,119.0,537.0
2,ArmaTruc,93.0,654.0
3,FKB Dokhy,91.0,543.0
4,NES Arestidios,91.0,423.0
5,ARMA ACKK,86.0,885.0
6,Jotosha,85.0,378.0
8,LaiDawoYa,84.0,334.0
7,ANO Kezman,84.0,236.0
9,USM Cydrill,78.0,230.0
10,Thrae,74.0,1100.0
12,xForsaken,71.0,479.0
11,soc un ODESZA,71.0,392.0
13,EML Toutoune,70.0,510.0
14,NightsHS,70.0,287.0
15,La DouGz,70.0,237.0
16,EDC PeBe,66.0,390.0
18,RΞSTΛRT Tacti,58.0,444.0
17,Joshy Chan ,58.0,377.0
19,KNF Skorpion,54.0,404.0
21,twtv Rykomastery,49.0,1119.0
20,BKrisz,49.0,728.0
22,Ez Game xd,48.0,631.0
23,SeyRo,48.0,237.0
25,TMS Vomendeth,47.0,853.0
24,JollyFaker777,47.0,353.0
26,TrybleH,46.0,250.0
27,Daan Stylez,45.0,330.0
28,FlècheNoire,45.0,287.0
30,NES BluePlease,44.0,218.0
29,Chambe,44.0,51.0
31,Thanzull,42.0,426.0
32,Enclase,37.0,480.0
33,juansetama,37.0,286.0
35,Arewilia,36.0,582.0
34,Ganord0f,36.0,379.0
36,AGO Zbrojson,35.0,471.0
37,rahzah,35.0,186.0
39,Babyguana,34.0,639.0
38,Liquid AKAWonder,34.0,301.0
40,Nakashiiii,33.0,506.0
41,Oz74 ,32.0,683.0
42,Zidodo,32.0,329.0
46,LIL Aware,30.0,911.0
45,The Kite Runner,30.0,409.0
43,rukitosan,30.0,305.0
44,Suidoken,30.0,241.0
47,tms bellae,28.0,593.0
48,Medace,28.0,182.0
49,Birderp,27.0,244.0
51,V1 ZULUL,26.0,246.0
50,88ZOgUOy88,26.0,144.0
52,njakvipfc,25.0,513.0
53,VGIA T4nPoP,21.0,309.0
54,RandhawaHD,21.0,280.0
55,SirLowk,21.0,261.0
57,iamTLT,20.0,549.0
56,iBlazeTheGamer,20.0,270.0
59,Magarky,19.0,1222.0
58,Haiiden,19.0,237.0
60,Vejeetah,18.0,567.0
61,kevinparkertft,15.0,1020.0
62,kubixon06,15.0,383.0
63,BGN DrMattheus,15.0,381.0
64,Pinky windy,12.0,310.0
67,ANO Lelouch,10.0,1272.0
68,BGN ShinoPavels,10.0,551.0
69,EsPαt,10.0,345.0
65,Scream4Hell,10.0,236.0
66,Jajaxxs,10.0,234.0
72,Exstyled,4.0,683.0
70,Ranceta,4.0,274.0
71,Kezioo,4.0,209.0
74,xia lu bie song,2.0,508.0
73,CN Jiang Ze Ming,2.0,242.0
203,Um33d,0.0,1310.0
121,S1C xus0o,0.0,1200.0
120,Liquid Snoodyboo,0.0,1151.0
119,KC Double61,0.0,1046.0
111,ImSøFresh,0.0,981.0
147,DV1 shircane,0.0,954.0
136,NES Qetzer,0.0,942.0
132,Ukkkkko,0.0,912.0
109,DV1 Sage,0.0,881.0
95,AceofSpadesITA,0.0,877.0
102,faytless,0.0,845.0
92,SLY Voltariux,0.0,834.0
105,LIL Enzosexe,0.0,830.0
98,White Rabbit 222,0.0,829.0
89,EuBebe872,0.0,825.0
88,simplyw0jtek,0.0,823.0
85,ANO Vicer,0.0,812.0
79,Pas De BoI,0.0,809.0
150,DV1 Kacpersky191,0.0,807.0
209,Dalesom,0.0,777.0
205,Catalyst TFT,0.0,774.0
195,Skipaeus,0.0,762.0
204,IZI Lyyyress,0.0,762.0
193,Texita,0.0,758.0
207,Salvyyy,0.0,757.0
167,TarteMan,0.0,752.0
160,bunbun TFT,0.0,751.0
157,Mamène TFT,0.0,738.0
154,Sologesang,0.0,737.0
155,Lorus,0.0,737.0
187,Cynarr,0.0,720.0
188,JR70 TKey,0.0,720.0
183,TMS Sunshee,0.0,718.0
179,Kingdanzz,0.0,716.0
108,gluteus maxímus,0.0,708.0
87,uknowSawyer,0.0,696.0
173,HyunTer,0.0,695.0
174,Wet Jungler,0.0,693.0
175,chunkypapa,0.0,685.0
176,SwellerTiger,0.0,684.0
177,PCS Xperion,0.0,684.0
178,LIL Bränk,0.0,679.0
158,BGN Kenobi,0.0,636.0
180,San Jomian,0.0,623.0
181,Jotaęn,0.0,608.0
182,Kropekpobyku,0.0,606.0
159,LastKardax,0.0,600.0
184,Hyunjinbot,0.0,593.0
185,YPRN Chwbk,0.0,592.0
186,Phabal,0.0,564.0
172,ttv fischerable,0.0,530.0
189,Eybeam WG,0.0,530.0
170,J1aVX PaoPaoPW,0.0,529.0
191,5454XD,0.0,529.0
151,etre infame,0.0,527.0
161,Drenaco,0.0,522.0
162,C0LiN,0.0,521.0
163,Ãki,0.0,517.0
164,DÉ BIZOU TENDRES,0.0,515.0
169,Fabulotus,0.0,514.0
152,DV1 TSW5,0.0,506.0
165,Petít Chaton,0.0,506.0
166,Whıte Arıe,0.0,505.0
168,TMS Jean Keke,0.0,486.0
153,Noerum,0.0,474.0
190,Luque,0.0,465.0
171,SpritneyBiers,0.0,452.0
202,Cilyo,0.0,437.0
192,Vínn,0.0,428.0
199,Kevan77,0.0,422.0
196,Ovadiiiiiiiiiio,0.0,421.0
198,Kalsir,0.0,402.0
206,BIGSWAGLORDLOLXD,0.0,393.0
