,nick,lp_diario,lp
0,きじちゃん,109,471
1,bappy,48,292
2,しかめまどか,42,204
3,Spatz,41,498
4,害獣あらいぐま,39,574
5,ぬこ丸,34,696
6,allestio,28,339
7,tikpen,10,634
8,HiROKKtft,6,281
9,title,1,720
24,やつはし,0,1340
44,Hiraino,0,1202
46,りーり,0,1035
47,Best 佐藤 JP,0,1034
48,summertimer,0,968
49,next777,0,702
50,kes,0,680
51,Mïdor1,0,664
52,じーく,0,636
53,ginTab,0,608
54,NiuHS,0,605
55,rionest,0,575
56,リセット カラー,0,562
57,ミドリガメ,0,555
58,etsuya0505,0,541
59,やふーくん,0,500
45,kaito716,0,483
61,Rise8332,0,481
68,Starfish4,0,478
74,NA gyalubaby,0,443
73,VTAKU77,0,438
72,sobakotu,0,431
71,Archsy,0,420
62,glutane,0,402
69,高科 奈桜,0,388
70,hirateuti,0,385
67,misomega,0,378
66,3OO3,0,377
65,Cresselia123,0,371
64,dozepk,0,369
63,jeremy624,0,358
43,God Fukuoka,0,343
41,mari,0,308
22,center8128,0,306
20,mohohohoooooo,0,291
10,vanderkahn,0,286
11,イキ杉愛苦朗,0,273
12,ゆめの,0,264
14,CattIeya,0,257
15,chemistry0221,0,256
16,sack dance,0,249
17, N E I  T  95,0,249
18,Aberia,0,243
19,dosaidon0,0,243
21,アキイクＳ,0,243
13,VNS Anna,0,239
23,Ending Scene,0,239
25,Syre,0,238
26,hakaginanasi,0,233
42,Anemone123,0,232
40,シャケロット,0,231
39,GHOSTLIBERATOR,0,228
38,Juu1nop,0,227
37,TFTのお嬢様,0,224
36,のいがはま,0,223
35,bebimuhi,0,222
34,apa09Neo,0,217
33,小林ジョンソン,0,212
32,  インターネット,0,206
31,underb1ade,0,203
29,Dakotas,0,202
30,VNS LiuCT,0,202
28,ゴマちゃん,0,198
27,RsKz nora,0,149
60,ryu07,0,140
76,trotv,-11,220
75,halkeye,-11,187
77,연속살인마,-26,541
78,ザリガニ大会,-38,610
79,nobupiko,-51,216
80,スト缶ODしのぴ,-59,288
81,Yuna,-73,443
82,Mouch,-169,0
