,nick,Unnamed: 0,lp
0,    ˆŁxmˆ  ,-44.0,0
1,006400 T,0.0,0
2,3 Gà,-134.0,0
3,ABeardedPanda,-229.0,0
4,ADHDisco,-185.0,0
5,AP GaRen,-272.0,0
6,APirateOMG,-122.0,0
7,Aesah,-32.0,0
8,AirWoo,-150.0,0
9,Allenteng,-216.0,0
10,Alpa7,-278.0,0
11,Aries Titan,-232.0,0
12,Attack,-258.0,0
13,Aurelíon SoI,-249.0,0
14,Aärön,-158.0,0
15,BBBBBBBBBBBB12,-179.0,0
16,BC Socks,-12.0,0
17,Bankie,-210.0,0
18,BarackaFlucka,-172.0,0
19,Bcraz,-247.0,0
20,Big Puppa,-145.0,0
21,BigBoyZai,-82.0,0
22,Bradini,-290.0,0
23,BravoDavid,-133.0,0
24,Broccóli,-37.0,0
25,Bruhbruhbruh WHO,-294.0,0
26,Bulls0717,-193.0,0
27,ButteredCatK,-155.0,0
28,C9 k3soju,-8.0,0
29,Clair666,-51.0,0
30,ClearloveMingkai,-213.0,0
31,Cloaking,-214.0,0
32,CommandoC,-109.0,0
33,Connerisme,-69.0,0
34,Cottontail,-13.0,0
35,Cris,-75.0,0
36,Công An 911,-128.0,0
37,Dad2Point0,-288.0,0
38,Darth Nub,-54.0,0
39,Depew,-196.0,0
40,Diejoubu xD,-112.0,0
41,DisGame2Ez,-233.0,0
42,DoYouWantSomeTea,-65.0,0
43,Dowsie Protector,-228.0,0
44,DrownedGod,-194.0,0
45,Dıshsoap,-28.0,0
46,EMlTWOHS,-92.0,0
47,Effen,-180.0,0
48,ElmondTFT,-108.0,0
49,Elvisbeback,-131.0,0
50,EvilGenius,-197.0,0
51,F1 Flow,-166.0,0
52,FinaldF,-161.0,0
53,FingerLicker,-148.0,0
54,Flashbâng,-223.0,0
55,Flightzy,-231.0,0
56,FlyMoto,-279.0,0
57,Forest Hermit,-139.0,0
58,GDtheman,-74.0,-39
59,Grillsyy,-80.0,0
60,Guyjrt,-208.0,0
61,Harukawa Maki,-283.0,0
62,Helping,-58.0,0
63,HenryGeez,-248.0,0
64,Homesick,-244.0,0
65,HuluBro I 98,-90.0,0
66,I Am BonAppleT,-61.0,0
67,I Miss Void Sins,-36.0,0
68,I am not Lucy,-239.0,0
69,IMBabyhands,-204.0,0
70,Icey,-177.0,0
71,ImSoFetch,-285.0,0
72,Incite,-30.0,0
73,Isaac142,-220.0,0
74,ItsDinodan,-227.0,0
75,JawKneeYou,-221.0,0
76,JazLatte,-151.0,0
77,Jhin Weak,-286.0,0
78,JimLoveAngie,-67.0,0
79,JukeYou,-152.0,0
80,Jyu V Grace,-211.0,0
81,KOOMMoley,-143.0,0
82,KR DDUDU,-160.0,0
83,Kageros,-6.0,0
84,KaiserEY,-230.0,0
85,Kandiez,-275.0,0
86,Keima,-280.0,0
87,Kenya1der,-106.0,0
88,Kill1ingGod,-241.0,0
89,Kimba TWL,-240.0,0
90,Kismyluv,-253.0,0
91,Kiting is Hard,-16.0,0
92,Koryean,-98.0,0
93,Kunpang,-215.0,0
94,Kyivix,-205.0,0
95,Landis,-260.0,0
96,Liquid Goose,-4.0,0
97,Liquid Kurumx,-14.0,0
98,Liquid Robin,-18.0,0
99,Loomykev11,-224.0,0
100,Luqun,-198.0,0
101,MXU,-45.0,0
102,Mean Mister Kien,-84.0,0
103,MegaGrega,-111.0,0
104,MenhitSedna,-181.0,0
105,Milk Guy,-23.0,0
106,Mister Lau,-156.0,0
107,MollyCookies,-256.0,0
108,Monstrata,-169.0,0
109,NA FREE KEKW,-268.0,0
110,Nadal,-217.0,0
111,Nep2une,-273.0,0
112,NodeJS,-218.0,0
113,Nostereleven,-2.0,0
114,Not Shiyi,-68.0,0
115,Notmybad,-136.0,0
116,PPPRESTIVENT,-72.0,0
117,Pakhkhk,-130.0,15
118,Pawnup,-167.0,0
119,Pepega in TFT,-95.0,0
120,PickleOnion,-88.0,0
121,Pivot Valorant,-41.0,0
122,Pls Put it in Me,-274.0,0
123,Pogment,-76.0,0
124,Poka,-291.0,0
125,PoppIn Jung,-132.0,0
126,Posment,-141.0,0
127,QualityHooker,-163.0,0
128,RONNIESTOPPABLE,-251.0,0
129,Raimus,-79.0,0
130,RamKev,-7.0,0
131,Ramblinnn,-42.0,0
132,ReynzeR,-96.0,0
133,Riona,-159.0,0
134,Rokuyo,-186.0,0
135,Rolling ZoZo,-225.0,0
136,Ruele,-63.0,0
137,SadgeSadgeSadge,-202.0,0
138,Saibur,-46.0,0
139,Sehnbon,-175.0,0
140,Shadow House No1,-234.0,0
141,ShelledAlfredo,-187.0,0
142,SkiingStarfruit,-292.0,0
143,Slindy212,-255.0,0
144,SmurfSquatch,-117.0,0
145,Souless,-26.0,0
146,SpencerTFT,-15.0,0
147,Sphinx,-27.0,0
148,SpicyAppies,-39.0,0
149,Sserendipity,-209.0,0
150,Stompalittle,-206.0,0
151,Sun Astronaut,-295.0,0
152,SystoIicFrame,-266.0,0
153,TACOBELL WlFl,-293.0,0
154,TFT VX 674706031,-5.0,0
155,TSM FTX Kiyoon,-31.0,0
156,TSM FTX Souless,-9.0,0
157,TTV KENYA1,-199.0,0
158,TTV WaterAsChase,-34.0,0
159,TTV alexkimtft,-107.0,0
160,Tae2n,-100.0,0
161,Tangela,-184.0,0
162,Teechu,-57.0,0
163,TesKnight1,-105.0,0
164,Tezzerker,-267.0,0
165,TftCream,-86.0,0
166,ThatOtherJacob,-103.0,0
167,The1 n onlyKwaz,-89.0,0
168,TheWaterBearr,-48.0,0
169,TimeZeroo,-237.0,0
170,Tohsaka Rin,-144.0,0
171,Trade,-120.0,0
172,Tragoose,-189.0,0
173,Tsmmaa,-3.0,0
174,TwTv TrajanTFT,-222.0,0
175,TyIer Franklin,-170.0,0
176,Ueckar,-71.0,0
177,VAST MENTAL GAP,-50.0,0
178,VX TFTDL888,-17.0,0
179,VX15375231123,-10.0,0
180,Velayy,-24.0,0
181,WHY NOT MUNDO,-262.0,0
182,Wibbs8,-269.0,0
183,Wíthin,-47.0,0
184,Wøømy,-235.0,0
185,Xeno,-35.0,0
186,Xnieamo,-64.0,0
187,XrsBishop,-137.0,0
188,YEEF,-242.0,0
189,Yiggles,-135.0,0
190,YippeeMaokaiYay,-78.0,0
191,YoungPlum13,-270.0,0
192,Zaddo,-261.0,0
193,afkdrew,-201.0,0
194,akiSaa,-252.0,0
195,aladdjin,-125.0,0
196,ayayayayayayeyer,-83.0,0
197,becca tilts,-121.0,0
198,bertasaurus,-60.0,0
199,binghin,-188.0,0
200,bo4nkiller,-191.0,0
201,bobbyex,-59.0,0
202,bossoskills,-263.0,0
203,brainlaggg95,-22.0,0
204,cant win life,-126.0,0
205,captain kookie,-257.0,0
